Number of threads,1,Length of array,500000
Test #,cutoff,10 Times Time,
0.1,5000,30.4,
0.2,10000,17.4,
0.3,15000,17.8,
0.4,20000,14.6,
0.5,25000,12.2,
0.6,30000,11.3,
0.7,35000,10.9,
0.8,40000,10.5,
0.9,45000,10.7,
1,50000,10.5,
Number of threads,2,Length of array,500000
Test #,cutoff,10 Times Time,
0.1,5000,11.5,
0.2,10000,12,
0.3,15000,10.7,
0.4,20000,10.5,
0.5,25000,10.3,
0.6,30000,10.3,
0.7,35000,10.7,
0.8,40000,10.3,
0.9,45000,10.6,
1,50000,10.5,
Number of threads,4,Length of array,500000
Test #,cutoff,10 Times Time,
0.1,5000,11.3,
0.2,10000,10.8,
0.3,15000,10.8,
0.4,20000,10.5,
0.5,25000,10.6,
0.6,30000,10.2,
0.7,35000,10.4,
0.8,40000,10.4,
0.9,45000,10.5,
1,50000,10.4,
Number of threads,8,Length of array,500000
Test #,cutoff,10 Times Time,
0.1,5000,11.2,
0.2,10000,10.8,
0.3,15000,10.7,
0.4,20000,10.9,
0.5,25000,10.4,
0.6,30000,10.3,
0.7,35000,10.5,
0.8,40000,10.7,
0.9,45000,10.6,
1,50000,10.5,
Number of threads,16,Length of array,500000
Test #,cutoff,10 Times Time,
0.1,5000,11.3,
0.2,10000,10.6,
0.3,15000,10.8,
0.4,20000,10.5,
0.5,25000,10.4,
0.6,30000,10.2,
0.7,35000,10.7,
0.8,40000,10.6,
0.9,45000,10.7,
1,50000,10.4,
Number of threads,32,Length of array,500000
Test #,cutoff,10 Times Time,
0.1,5000,11.3,
0.2,10000,10.7,
0.3,15000,11,
0.4,20000,10.5,
0.5,25000,10.6,
0.6,30000,10.2,
0.7,35000,10.4,
0.8,40000,10.3,
0.9,45000,10.6,
1,50000,10.4,
Number of threads,64,Length of array,500000
Test #,cutoff,10 Times Time,
0.1,5000,11.2,
0.2,10000,10.6,
0.3,15000,10.7,
0.4,20000,10.4,
0.5,25000,10.4,
0.6,30000,10.5,
0.7,35000,10.2,
0.8,40000,10.3,
0.9,45000,10.6,
1,50000,10.6,
Number of threads,1,Length of array,1000000
Test #,cutoff,10 Times Time,
0.1,5000,25.7,
0.2,10000,22.9,
0.3,15000,23.1,
0.4,20000,22,
0.5,25000,22.1,
0.6,30000,22.5,
